#Points used for interpolating range in Hour Angle (HA)=
#for a given declination.  Later converted into Local Siderial
#time. These numbers were created with the script process_telescope_limits.py
#which grabs the alt az limits from the same table used by the TCS
#
#Dec.	min(HA)	max(HA)
-51.0	1.0	1.0
-50.0	-0.667848888797	2.21544924493
-49.5	-0.794195873151	2.94775005398
-49.0	-0.920542857505	0.837407218162
-48.5	-1.0376909698	0.478739087219
-48.0	-1.08941329797	1.10723904628
-47.5	-1.14113562613	1.73573900534
-47.0	-1.19285795429	2.3642389644
-46.5	-1.24458028245	2.99273892346
-46.0	-1.29630261061	3.35511754927
-45.5	-1.34802493877	3.40262868543
-45.0	-1.39264726742	3.4501398216
-44.5	-1.43634398978	3.49765095777
-44.0	-1.48004071214	3.54516209394
-43.5	-1.5237374345	3.59267323011
-43.0	-1.56743415686	3.64018436627
-42.5	-1.61113087922	3.68481921069
-42.0	-1.65482760158	3.72594825225
-41.5	-1.69762658983	3.76707729382
-41.0	-1.73887779417	3.80820633538
-40.5	-1.78012899851	3.84933537694
-40.0	-1.82138020285	3.8904644185
-39.5	-1.86263140719	3.93159346007
-39.0	-1.90388261153	3.97272250163
-38.5	-1.94513381587	4.01209726467
-38.0	-1.98544480361	4.04818937293
-37.5	-2.02112286208	4.08428148119
-37.0	-2.05680092055	4.12037358945
-36.5	-2.09247897903	4.15646569771
-36.0	-2.1281570375	4.19255780597
-35.5	-2.16383509598	4.22864991423
-35.0	-2.19951315445	4.26474202249
-34.5	-2.23519121293	4.30083413075
-34.0	-2.2708692714	4.33668019233
-33.5	-2.30654732987	4.36934221023
-33.0	-2.34222538835	4.40200422813
-32.5	-2.38767835487	4.43466624603
-32.0	-2.44391204197	4.46732826392
-31.5	-2.50014572908	4.49999028182
-31.0	-2.55637941618	4.53265229972
-30.5	-2.61261310329	4.56531431762
-30.0	-2.6688467904	4.59797633551
-29.5	-2.72421795986	4.63063835341
-29.0	-2.77916246879	4.66330037131
-28.5	-2.83410697771	4.68706347432
-28.0	-2.88905148664	4.7100331614
-27.5	-2.94399599556	4.73300284848
-27.0	-2.99894050449	4.75597253557
-26.5	-3.05881713242	4.77894222265
-26.0	-3.12148455347	4.80191190973
-25.5	-3.18415197452	4.82488159682
-25.0	-3.24681939557	4.8478512839
-24.5	-3.30948681662	4.87082097098
-24.0	-4.37114515168	4.89379065806
-23.5	-4.83459671653	4.91676034515
-23.0	-4.59160030335	4.93973003223
-22.5	-4.27545623544	4.96269971931
-22.0	-3.95931216754	4.9856694064
-21.5	-3.6952276064	5.00801342815
-21.0	-4.25753527348	5.02921905033
-20.5	-4.10830252058	5.05042467251
-20.0	-4.39256459421	5.07163029469
-19.5	-5.10102391621	5.09283591687
-19.0	-5.11744678296	5.11404153905
-18.5	-5.087664193	5.13524716123
-18.0	-5.05788160303	5.15645278341
-17.5	-5.02809901307	5.17765840558
-17.0	-4.9983164231	5.19886402776
-16.5	-5.02781834806	5.22006964994
-16.0	-5.07473769645	5.24127527212
-15.5	-5.11711827895	5.2624808943
-15.0	-5.15949886144	5.28368651648
-14.5	-5.20187944393	5.30489213866
-14.0	-5.24426002642	5.32609776084
-13.5	-5.28664060892	5.34758829535
-13.0	-5.32902119141	5.36927013233
-12.5	-5.3714017739	5.39095196931
-12.0	-5.41378235639	5.41263380629
-11.5	-5.45616293889	5.43431564327
-11.0	-5.49665633147	5.45599748025
-10.5	-5.51539815294	5.47767931723
-10.0	-5.53413997442	5.49936115421
-9.5	-5.5528817959	5.52104299119
-9.0	-5.57162361738	5.54272482817
-8.5	-5.59036543885	5.56440666515
-8.0	-5.60910726033	5.58608850212
-7.5	-5.62784908181	5.6077703391
-7.0	-5.64659090328	5.62945217608
-6.5	-5.66533272476	5.65113401306
-6.0	-5.68407454624	5.67281585004
-5.5	-5.70281636772	5.69370394945
-5.0	-5.72164706883	5.71340558655
-4.5	-5.74151448302	5.73310722364
-4.0	-5.7613818972	5.75280886074
-3.5	-5.78124931139	5.77251049784
-3.0	-5.80111672558	5.79221213494
-2.5	-5.82098413976	5.81191377204
-2.0	-5.84085155395	5.83161540913
-1.5	-5.86071896814	5.85131704623
