# outline of illuminated area on igrins slitcam
# generated from scam_geometry.ipynb
# ra/dec coordinates are in arcsec relative to center of slit
# x-pixel 	 y-pixel 	 ra 	 dec 
937.0	152.0	-59.0545400892	-77.7250882376
938.0	152.0	-59.1435309421	-77.6449006497
939.0	152.0	-59.232521795	-77.5647130618
940.0	152.0	-59.3215126479	-77.4845254739
941.0	152.0	-59.4105035008	-77.404337886
941.0	153.0	-59.3336512504	-77.3227377066
942.0	153.0	-59.4226421033	-77.2425501187
943.0	153.0	-59.5116329562	-77.1623625308
944.0	153.0	-59.6006238091	-77.0821749429
944.0	152.0	-59.6774760597	-77.1637751223
945.0	152.0	-59.7664669126	-77.0835875344
946.0	152.0	-59.8554577656	-77.0033999465
947.0	152.0	-59.9444486185	-76.9232123586
948.0	152.0	-60.0334394714	-76.8430247707
949.0	152.0	-60.1224303243	-76.7628371828
949.0	153.0	-60.0455780738	-76.6812370034
950.0	153.0	-60.1345689267	-76.6010494155
951.0	153.0	-60.2235597796	-76.5208618277
952.0	153.0	-60.3125506326	-76.4406742398
953.0	153.0	-60.4015414856	-76.3604866519
954.0	153.0	-60.4905323386	-76.280299064
955.0	153.0	-60.5795231915	-76.2001114761
956.0	153.0	-60.6685140444	-76.1199238882
957.0	153.0	-60.7575048973	-76.0397363003
958.0	153.0	-60.8464957502	-75.9595487124
959.0	153.0	-60.9354866031	-75.8793611245
960.0	153.0	-61.0244774562	-75.7991735366
961.0	153.0	-61.1134683091	-75.7189859487
962.0	153.0	-61.202459162	-75.6387983608
963.0	153.0	-61.2914500149	-75.5586107729
964.0	153.0	-61.3804408678	-75.478423185
965.0	153.0	-61.4694317207	-75.3982355971
966.0	153.0	-61.5584225736	-75.3180480092
967.0	153.0	-61.6474134267	-75.2378604213
968.0	153.0	-61.7364042796	-75.1576728334
969.0	153.0	-61.8253951325	-75.0774852455
970.0	153.0	-61.9143859854	-74.9972976576
971.0	153.0	-62.0033768383	-74.9171100697
971.0	154.0	-61.9265245879	-74.8355098903
972.0	154.0	-62.0155154408	-74.7553223024
973.0	154.0	-62.1045062937	-74.6751347146
973.0	153.0	-62.1813585441	-74.7567348939
974.0	153.0	-62.2703493972	-74.676547306
975.0	153.0	-62.3593402501	-74.5963597181
976.0	153.0	-62.448331103	-74.5161721302
977.0	153.0	-62.5373219559	-74.4359845423
978.0	153.0	-62.6263128088	-74.3557969544
