1.5389755.1 85.1442725.1
1.5043545.1 83.0381935.1
1.4881315.1 82.2240605.1
1.4753905.1 81.6152135.1
1.4637365.1 77.8968655.1
1.4512415.1 71.9866515.1
1.4324105.1 64.1609225.1
1.4206915.1 60.0187715.1
1.4041095.1 55.2818825.1
1.3980675.1 52.9445705.1
1.3858045.1 50.3116355.1
1.3767975.1 48.1391855.1
1.3636125.1 44.9501325.1
1.3561545.1 43.3753705.1
1.3415755.1 40.3334025.1
1.3299645.1 38.0399945.1
1.3139155.1 35.0029675.1
1.2999565.1 32.4655755.1
1.2836535.1 29.9483745.1
1.2696755.1 27.8337425.1
1.2463715.1 24.8759125.1
1.1956265.1 20.0074715.1
1.1814995.1 13.1375385.1
1.2324115.1 23.5265935.1
1.1656345.1 14.9292555.1
1.1815025.1 10.1833085.1
1.1683315.1 5.0390045.1
1.1651545.1 -0.0478095.1
1.1787485.1 -5.0394815.1
1.1941645.1 -11.0399175.1
1.2235785.1 -16.1030575.1
1.2287055.1 -16.8806135.1
1.2181395.1 -19.4687065.1
1.2290355.1 -23.8551315.1
1.2498965.1 -23.1429965.1
1.2741885.1 -20.9377135.1
1.2968125.1 -20.2788215.1
1.3198135.1 -21.5296315.1
1.3417555.1 -24.2423865.1
1.3638915.1 -26.8193175.1
1.3866015.1 -29.8345225.1
1.4089805.1 -32.7377675.1
1.4351295.1 -38.0843525.1
1.4554815.1 -41.6835475.1
1.4779955.1 -45.4423345.1
1.5001115.1 -48.5616345.1
1.5241515.1 -51.6584885.1
1.5473745.1 -51.2905255.1
1.5709805.1 -49.1188225.1
1.5717305.1 -49.1670625.1
1.5936525.1 -48.6155645.1
1.6307905.1 -49.0289205.1
1.6623375.1 -50.6007475.1
1.6844725.1 -51.5036645.1
1.7088545.1 -53.1873695.1
1.7273055.1 -54.3396045.1
1.7536215.1 -51.7399285.1
1.7773735.1 -49.4547645.1
1.7992615.1 -46.2290245.1
1.8220795.1 -42.7253415.1
1.8449205.1 -38.6741425.1
1.8678675.1 -34.0358665.1
1.8905975.1 -28.9590705.1
1.9135255.1 -21.6773365.1
1.9364255.1 -13.7991435.1
1.9604955.1 -5.7004195.1
1.9887835.1 3.2044935.1
1.9833335.1 2.7557405.1
2.0053425.1 11.0041755.1
2.0285605.1 19.0669465.1
2.0513125.1 25.5582405.1
2.0755225.1 32.1697665.1
2.0969715.1 36.8835405.1
2.1198105.1 41.6474115.1
2.1433075.1 45.4087055.1
2.1662365.1 48.7590785.1
2.1890785.1 51.1684195.1
2.2108475.1 52.8806445.1
2.2353945.1 55.0135885.1
2.2568645.1 56.7432865.1
2.2798005.1 57.9946475.1
2.3019515.1 60.3115285.1
2.3276645.1 62.9344445.1
2.3505355.1 64.4304895.1
2.3713315.1 64.3740855.1
2.3772195.1 66.2091055.1
2.3515325.1 89.8178365.1
2.2375395.1 89.9672545.1
2.2907125.1 89.9665785.1
