_RAJ2000	_DEJ2000	RAJ2000	DEJ2000	2MASS	Jmag	e_Jmag	Hmag	e_Hmag	Kmag	e_Kmag	Qflg	Rflg	Bflg	Cflg	Xflg	Aflg
301.259493	+54.434383	301.259493	+54.434383	20050227+5426037	8.830	0.021	8.346	0.021	8.113	0.018	AAA	112	112	00c	0	0
301.262207	+54.434227	301.262207	+54.434227	20050292+5426032	12.382	0.081	12.011	0.085	11.900	0.054	AAA	222	112	ccc	0	0
301.281341	+54.421848	301.281341	+54.421848	20050752+5425186	13.117	0.025	12.492	0.021	12.356	0.022	AAA	222	111	000	0	0
301.245552	+54.430653	301.245552	+54.430653	20045893+5425503	14.081	0.032	13.610	0.026	13.491	0.044	AAA	222	111	000	0	0
301.277053	+54.441814	301.277053	+54.441814	20050649+5426305	14.048	0.028	13.684	0.026	13.626	0.042	AAA	222	112	00c	0	0
301.226205	+54.420345	301.226205	+54.420345	20045428+5425132	14.343	0.045	13.980	0.049	13.868	0.050	AAA	222	112	00c	0	0
301.274312	+54.442425	301.274312	+54.442425	20050583+5426327	14.524	0.032	14.110	0.031	13.994	0.056	AAA	222	112	00c	0	0
301.230858	+54.430660	301.230858	+54.430660	20045540+5425503	15.144	0.044	14.543	0.047	14.486	0.079	AAA	222	111	000	0	0
301.253287	+54.440155	301.253287	+54.440155	20050078+5426245	15.313	0.037	14.666	0.041	14.808	0.110	AAB	222	111	c0c	0	0
301.227214	+54.429802	301.227214	+54.429802	20045453+5425472	15.644	0.048	15.236	0.083	14.986	0.129	AAB	222	111	000	0	0
